Date,Leg1,Leg2,Leg3,Leg4,Placed
2022-08-27,f,"1,7,8,11","1,2,3,5","8,9",y
2022-09-03,f,"2,4,7,8","5,6,8,9","10,15",y
2022-09-10,f,"5,6,10,14","4,7,12,13","3,11",y
2022-09-17,f,"5,7,10,15","2,4,8,9","5,9",y
2022-09-24,f,"2,3,5,6","5,6,9","13, 15",n
2022-10-01,f,"2,11,12,16","2,6,9,13","4,11",y
2022-10-08,f,"1,2,3,10","5,8,9,13","3,8",y
2022-10-15,f,"6,9,13,15","6,12,17,19","5,16",y
2022-10-22,f,"1,2,10,12","1,3,6,8","7,10",y
2022-10-29,f,"1,2,5,12","1,12,14,17","7,9",y
2022-11-05,f,"2,3,4,8","1,2,7,8","6,20",y
2022-11-12,f,"3,5,6,13","5,6,7,8","2,7",y
2022-11-19,f,"3,4,7,13","5,7,13,15","1,8",y
2022-11-26,f,"1,3,4,8","1,3,5,13","5,8",y
2022-12-03,f,"2,6,7,9","1,2,5,6","5,15",y
2022-12-10,f,"4,5,12,14","3,6,10,12","8,16",y
2022-12-17,f,"3,4,6","2,9,14","7,10",n
